# anti- candidates (3532 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

antiautophagic                      -> autophagic
antiautophagy                       -> autophagy
antiauxin                           -> auxin
antiavian                           -> avian
antiaxial                           -> axial
antiazotemic                        -> azotemic
antibabesial                        -> babesial
antibaboon                          -> baboon
antibacchic                         -> bacchic
antibacchius                        -> bacchius
antibacillary                       -> bacillary
antibacklash                        -> backlash
antibacterial                       -> bacterial
antibacteriolytic                   -> bacteriolytic
antibacteriophage                   -> bacteriophage
antibailout                         -> bailout
antibaldness                        -> baldness
antiballet                          -> ballet
antiballing                         -> balling
antiballistic                       -> ballistic
antiballoon                         -> balloon
antiballooner                       -> ballooner
antiban                             -> ban
antibank                            -> bank
antibanking                         -> banking
antibaptism                         -> baptism
antibaryon                          -> baryon
antibaryonic                        -> baryonic
antibaseball                        -> baseball
antibasketball                      -> basketball
antibathing                         -> bathing
antibattery                         -> battery
antibear                            -> bear
antibeauty                          -> beauty
antibechic                          -> bechic
antibee                             -> bee
antibellicose                       -> bellicose
antibelligerent                     -> belligerent
antiberiberi                        -> beriberi
antibias                            -> bias
antibiblical                        -> biblical
antibicycle                         -> bicycle
antibigotry                         -> bigotry
antibike                            -> bike
antibilharzial                      -> bilharzial
antibilious                         -> bilious
antibillboard                       -> billboard
antibillionaire                     -> billionaire
antibiodegradable                   -> biodegradable
antibiofilm                         -> biofilm
antibiofoulant                      -> biofoulant
antibiofouling                      -> biofouling
antibiography                       -> biography
antibiological                      -> biological
antibiont                           -> biont
antibioresistant                    -> bioresistant
antibiosis                          -> biosis
antibiotherapy                      -> biotherapy
antibiotical                        -> biotical
antibiotin                          -> biotin
antibiotype                         -> biotype
antibipolar                         -> bipolar
antibird                            -> bird
antibirth                           -> birth
antibisexual                        -> bisexual
antibishop                          -> bishop
antiblack                           -> black
antiblackism                        -> blackism
antiblackness                       -> blackness
antiblasphemy                       -> blasphemy
antiblast                           -> blast
antiblastic                         -> blastic
antibleeding                        -> bleeding
antiblennorrhagic                   -> blennorrhagic
antiblister                         -> blister
antiblistering                      -> blistering
antibloat                           -> bloat
antibloating                        -> bloating
antibloc                            -> bloc
antiblock                           -> block
antiblockade                        -> blockade
antiblockage                        -> blockage
antiblocker                         -> blocker
antiblocking                        -> blocking
antiblooming                        -> blooming
antiblue                            -> blue
antiblush                           -> blush
antiblushing                        -> blushing
antiboarding                        -> boarding
antibody                            -> body
antibolshevik                       -> bolshevik
antibolshevism                      -> bolshevism
antibolshevist                      -> bolshevist
antibomb                            -> bomb
antibonding                         -> bonding
antibonus                           -> bonus
antibook                            -> book
antiboom                            -> boom
antibootlegging                     -> bootlegging
antiboreal                          -> boreal
antiboson                           -> boson
antiboss                            -> boss
antibot                             -> bot
antibothropic                       -> bothropic
antibottleneck                      -> bottleneck
antibottom                          -> bottom
antibotulism                        -> botulism
antibounce                          -> bounce
antibound                           -> bound
antibourgeois                       -> bourgeois
antibovine                          -> bovine
antiboxing                          -> boxing
antiboy                             -> boy
antiboycott                         -> boycott
antibradycardic                     -> bradycardic
