# re- candidates (2455 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

rebook                              -> book
reboost                             -> boost
reboot                              -> boot
reborder                            -> border
rebore                              -> bore
reborrow                            -> borrow
rebottle                            -> bottle
rebottom                            -> bottom
rebounce                            -> bounce
rebound                             -> bound
rebox                               -> box
rebrace                             -> brace
rebracket                           -> bracket
rebraid                             -> braid
rebranch                            -> branch
rebrand                             -> brand
rebreach                            -> breach
rebreak                             -> break
rebreathe                           -> breathe
rebreed                             -> breed
rebrew                              -> brew
rebribe                             -> bribe
rebrick                             -> brick
rebridge                            -> bridge
rebrief                             -> brief
rebrighten                          -> brighten
rebring                             -> bring
rebristle                           -> bristle
rebroach                            -> broach
rebroadcast                         -> broadcast
rebrominate                         -> brominate
rebronze                            -> bronze
rebrown                             -> brown
rebrush                             -> brush
rebubble                            -> bubble
rebucket                            -> bucket
rebuckle                            -> buckle
rebud                               -> bud
rebudget                            -> budget
rebuffer                            -> buffer
rebuild                             -> build
rebulb                              -> bulb
rebulk                              -> bulk
rebump                              -> bump
rebunch                             -> bunch
rebundle                            -> bundle
rebung                              -> bung
rebunker                            -> bunker
reburden                            -> burden
reburgeon                           -> burgeon
reburn                              -> burn
reburnish                           -> burnish
reburrow                            -> burrow
reburst                             -> burst
rebury                              -> bury
rebus                               -> bus
rebush                              -> bush
rebusy                              -> busy
rebut                               -> but
rebutter                            -> butter
rebutton                            -> button
rebuy                               -> buy
recable                             -> cable
recache                             -> cache
recaffeinate                        -> caffeinate
recage                              -> cage
recalcify                           -> calcify
recalcine                           -> calcine
recalcitrate                        -> calcitrate
recalculate                         -> calculate
recalendar                          -> calendar
recalender                          -> calender
recalesce                           -> calesce
recalibrate                         -> calibrate
recalk                              -> calk
recall                              -> call
recam                               -> cam
recamber                            -> camber
recampaign                          -> campaign
recan                               -> can
recanalise                          -> canalise
recancel                            -> cancel
recane                              -> cane
recannulate                         -> cannulate
recanonize                          -> canonize
recanvas                            -> canvas
recanvass                           -> canvass
recap                               -> cap
recapacitate                        -> capacitate
recapitalize                        -> capitalize
recapitate                          -> capitate
recapitulate                        -> capitulate
recaption                           -> caption
recaptivate                         -> captivate
recapture                           -> capture
recarbamylate                       -> carbamylate
recarbonate                         -> carbonate
recarbonize                         -> carbonize
recarburize                         -> carburize
recareer                            -> career
recarnify                           -> carnify
recarpet                            -> carpet
recarry                             -> carry
recart                              -> cart
recarve                             -> carve
recase                              -> case
recash                              -> cash
recasket                            -> casket
recast                              -> cast
recatalogue                         -> catalogue
recatch                             -> catch
recategorize                        -> categorize
recatheterize                       -> catheterize
recaulk                             -> caulk
recausticize                        -> causticize
recauterize                         -> cauterize
recavitate                          -> cavitate
recede                              -> cede
recelebrate                         -> celebrate
recell                              -> cell
recellularize                       -> cellularize
recement                            -> cement
recensor                            -> censor
recensure                           -> censure
recensus                            -> census
recenter                            -> center
recentralize                        -> centralize
recentrifuge                        -> centrifuge
recertificate                       -> certificate
recertify                           -> certify
rechain                             -> chain
rechalk                             -> chalk
rechallenge                         -> challenge
rechamber                           -> chamber
rechamfer                           -> chamfer
rechange                            -> change
rechannel                           -> channel
rechannelize                        -> channelize
rechant                             -> chant
recharacterize                      -> characterize
recharge                            -> charge
rechart                             -> chart
recharter                           -> charter
rechase                             -> chase
rechasten                           -> chasten
recheat                             -> cheat
recheck                             -> check
recheer                             -> cheer
rechelate                           -> chelate
rechew                              -> chew
rechill                             -> chill
rechime                             -> chime
rechip                              -> chip
rechisel                            -> chisel
rechoose                            -> choose
rechoreograph                       -> choreograph
rechristen                          -> christen
rechristianize                      -> christianize
rechromatograph                     -> chromatograph
rechrome                            -> chrome
rechuck                             -> chuck
rechunk                             -> chunk
rechurch                            -> church
rechurn                             -> churn
recipher                            -> cipher
recircle                            -> circle
recircuit                           -> circuit
recircularize                       -> circularize
recirculate                         -> circulate
recircumcise                        -> circumcise
recircumscribe                      -> circumscribe
recite                              -> cite
recivilize                          -> civilize
reclad                              -> clad
reclaim                             -> claim
reclamp                             -> clamp
reclang                             -> clang
reclarify                           -> clarify
reclasp                             -> clasp
reclass                             -> class
reclassify                          -> classify
reclean                             -> clean
recleanse                           -> cleanse
reclear                             -> clear
recleave                            -> cleave
reclench                            -> clench
reclimb                             -> climb
reclip                              -> clip
recloak                             -> cloak
reclock                             -> clock
reclog                              -> clog
reclone                             -> clone
reclose                             -> close
reclothe                            -> clothe
recloud                             -> cloud
recluster                           -> cluster
recoach                             -> coach
recoagulate                         -> coagulate
recoal                              -> coal
recoalesce                          -> coalesce
recoat                              -> coat
recobble                            -> cobble
recock                              -> cock
recode                              -> code
recodify                            -> codify
recoffin                            -> coffin
recogitate                          -> cogitate
recognosce                          -> cognosce
recohere                            -> cohere
recoil                              -> coil
recoin                              -> coin
recoke                              -> coke
recollapse                          -> collapse
recollar                            -> collar
recollate                           -> collate
recollide                           -> collide
recollimate                         -> collimate
recolonize                          -> colonize
recolor                             -> color
recomb                              -> comb
recombine                           -> combine
recombobulate                       -> combobulate
recomfort                           -> comfort
recommemorate                       -> commemorate
recommence                          -> commence
recommend                           -> commend
recomment                           -> comment
recommercialize                     -> commercialize
recommission                        -> commission
recommit                            -> commit
recommodify                         -> commodify
recommunicate                       -> communicate
recomp                              -> comp
recompact                           -> compact
recompare                           -> compare
recompartmentalize                  -> compartmentalize
recompel                            -> compel
recompensate                        -> compensate
recompense                          -> compense
recompete                           -> compete
recompile                           -> compile
recomplain                          -> complain
recomplement                        -> complement
recomplete                          -> complete
recomplicate                        -> complicate
recomply                            -> comply
recomposite                         -> composite
recompost                           -> compost
recompound                          -> compound
recompress                          -> compress
recompute                           -> compute
recon                               -> con
reconcatenate                       -> concatenate
reconceal                           -> conceal
reconcede                           -> concede
reconceive                          -> conceive
reconcentrate                       -> concentrate
reconceptualize                     -> conceptualize
reconclude                          -> conclude
reconcoct                           -> concoct
reconcrete                          -> concrete
recondemn                           -> condemn
recondense                          -> condense
recondite                           -> condite
recondition                         -> condition
reconduct                           -> conduct
reconfer                            -> confer
reconfess                           -> confess
reconfide                           -> confide
reconfigure                         -> configure
reconfine                           -> confine
reconfirm                           -> confirm
reconfiscate                        -> confiscate
reconflate                          -> conflate
reconform                           -> conform
reconfound                          -> confound
