# mis- candidates (845 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

misfilm                             -> film
misfilter                           -> filter
misfinger                           -> finger
misfire                             -> fire
misfit                              -> fit
misfix                              -> fix
misflavour                          -> flavour
misflip                             -> flip
misfocus                            -> focus
misfold                             -> fold
misfool                             -> fool
misforecast                         -> forecast
misforge                            -> forge
misforgive                          -> forgive
misform                             -> form
misformat                           -> format
misformulate                        -> formulate
misforward                          -> forward
misframe                            -> frame
misfriend                           -> friend
misfuck                             -> fuck
misfuel                             -> fuel
misfunction                         -> function
misgather                           -> gather
misgauge                            -> gauge
misgender                           -> gender
misgeneralize                       -> generalize
misgenerate                         -> generate
misgenotype                         -> genotype
misgesture                          -> gesture
misget                              -> get
misgive                             -> give
misgloss                            -> gloss
misglue                             -> glue
misgovern                           -> govern
misgrab                             -> grab
misgrace                            -> grace
misgrade                            -> grade
misgraft                            -> graft
misgrasp                            -> grasp
misgreet                            -> greet
misgrieve                           -> grieve
misgrind                            -> grind
misgrip                             -> grip
misgroom                            -> groom
misground                           -> ground
misgroup                            -> group
misgrow                             -> grow
misgrudge                           -> grudge
misguard                            -> guard
misguess                            -> guess
misguesstimate                      -> guesstimate
misguggle                           -> guggle
misguide                            -> guide
misguilt                            -> guilt
mishammer                           -> hammer
mishandle                           -> handle
mishang                             -> hang
mishap                              -> hap
mishappen                           -> happen
misharvest                          -> harvest
mishaul                             -> haul
mishave                             -> have
misheal                             -> heal
mishear                             -> hear
misheed                             -> heed
misherd                             -> herd
mishew                              -> hew
mishire                             -> hire
mishit                              -> hit
mishold                             -> hold
mishope                             -> hope
mishybridize                        -> hybridize
mishyphen                           -> hyphen
mishyphenate                        -> hyphenate
misidentify                         -> identify
misimagine                          -> imagine
misimitate                          -> imitate
misimplant                          -> implant
misimplement                        -> implement
misimply                            -> imply
misimprint                          -> imprint
misimprove                          -> improve
misimpute                           -> impute
misincline                          -> incline
misinclude                          -> include
misincorporate                      -> incorporate
misindex                            -> index
misindicate                         -> indicate
misindoctrinate                     -> indoctrinate
misinfer                            -> infer
misinflate                          -> inflate
misinflect                          -> inflect
misinfluence                        -> influence
misinform                           -> inform
misingest                           -> ingest
misinhale                           -> inhale
misinherit                          -> inherit
misinject                           -> inject
misinput                            -> input
misinsert                           -> insert
misinspect                          -> inspect
misinspire                          -> inspire
misinstall                          -> install
misinstruct                         -> instruct
misintegrate                        -> integrate
misintend                           -> intend
misinteract                         -> interact
misinterpolate                      -> interpolate
misinterpret                        -> interpret
misintroduce                        -> introduce
misinvest                           -> invest
misinvoice                          -> invoice
misinvoke                           -> invoke
misissue                            -> issue
misjoin                             -> join
misjudge                            -> judge
miskeep                             -> keep
misken                              -> ken
miskey                              -> key
miskick                             -> kick
miskindle                           -> kindle
misknit                             -> knit
misknot                             -> knot
misknow                             -> know
mislabel                            -> label
mislabour                           -> labour
mislace                             -> lace
misland                             -> land
mislaunch                           -> launch
mislaunder                          -> launder
mislay                              -> lay
mislead                             -> lead
mislearn                            -> learn
mislevel                            -> level
mislexicalize                       -> lexicalize
mislie                              -> lie
mislight                            -> light
mislike                             -> like
misline                             -> line
mislink                             -> link
mislippen                           -> lippen
mislist                             -> list
mislisten                           -> listen
mislive                             -> live
misload                             -> load
mislocalize                         -> localize
mislocate                           -> locate
mislodge                            -> lodge
mislog                              -> log
mislook                             -> look
mislove                             -> love
mislubricate                        -> lubricate
misluck                             -> luck
mismachine                          -> machine
mismail                             -> mail
mismaintain                         -> maintain
mismake                             -> make
mismanage                           -> manage
mismaneuver                         -> maneuver
mismangle                           -> mangle
mismanipulate                       -> manipulate
mismanufacture                      -> manufacture
mismap                              -> map
mismark                             -> mark
mismarket                           -> market
mismarry                            -> marry
mismatch                            -> match
mismate                             -> mate
mismean                             -> mean
mismeasure                          -> measure
mismeet                             -> meet
mismemorize                         -> memorize
mismend                             -> mend
mismerge                            -> merge
mismetabolize                       -> metabolize
mismeter                            -> meter
mismethylate                        -> methylate
mismigrate                          -> migrate
mismirror                           -> mirror
mismix                              -> mix
