# un- candidates (10095 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

unaidable                           -> aidable
unailing                            -> ailing
unaimable                           -> aimable
unaimed                             -> aimed
unairable                           -> airable
unairbrushed                        -> airbrushed
unaired                             -> aired
unairworthy                         -> airworthy
unaisled                            -> aisled
unakin                              -> akin
unalarmed                           -> alarmed
unalarming                          -> alarming
unalarmist                          -> alarmist
unalaskan                           -> alaskan
unalchemical                        -> alchemical
unalcoholic                         -> alcoholic
unalcoholized                       -> alcoholized
unalert                             -> alert
unalertable                         -> alertable
unalerted                           -> alerted
unalgebraic                         -> algebraic
unalgebraical                       -> algebraical
unalgorithmic                       -> algorithmic
unalias                             -> alias
unaliased                           -> aliased
unalienable                         -> alienable
unalienate                          -> alienate
unalienated                         -> alienated
unalignable                         -> alignable
unaligned                           -> aligned
unalike                             -> alike
unalimentary                        -> alimentary
unalive                             -> alive
unalkylated                         -> alkylated
unallayable                         -> allayable
unalleged                           -> alleged
unallegorical                       -> allegorical
unalleviable                        -> alleviable
unalleviated                        -> alleviated
unalliable                          -> alliable
unallied                            -> allied
unalliterative                      -> alliterative
unallocated                         -> allocated
unallot                             -> allot
unallowable                         -> allowable
unallowed                           -> allowed
unalloyed                           -> alloyed
unalluring                          -> alluring
unallusive                          -> allusive
unalone                             -> alone
unalphabeted                        -> alphabeted
unalphabetic                        -> alphabetic
unalphabetical                      -> alphabetical
unalphabetized                      -> alphabetized
unalter                             -> alter
unalterable                         -> alterable
unaltered                           -> altered
unalternating                       -> alternating
unalternative                       -> alternative
unaltruistic                        -> altruistic
unaluminized                        -> aluminized
unamalgamable                       -> amalgamable
unamalgamated                       -> amalgamated
unamassed                           -> amassed
unamateurish                        -> amateurish
unamazed                            -> amazed
unamazing                           -> amazing
unambassadorial                     -> ambassadorial
unambiguous                         -> ambiguous
unambitious                         -> ambitious
unambivalent                        -> ambivalent
unambrosial                         -> ambrosial
unambushed                          -> ambushed
unameliorated                       -> ameliorated
unamenable                          -> amenable
unamendable                         -> amendable
unamended                           -> amended
unamericanized                      -> americanized
unamiable                           -> amiable
unamicable                          -> amicable
unamidated                          -> amidated
unamorous                           -> amorous
unamortizable                       -> amortizable
unamortized                         -> amortized
unamplifiable                       -> amplifiable
unamplified                         -> amplified
unamputated                         -> amputated
unamusable                          -> amusable
unamused                            -> amused
unamusing                           -> amusing
unamusive                           -> amusive
unanachronistic                     -> anachronistic
unanalogical                        -> analogical
unanalogous                         -> analogous
unanalytic                          -> analytic
unanalytical                        -> analytical
unanalyzed                          -> analyzed
unanatomical                        -> anatomical
unancestored                        -> ancestored
unanchor                            -> anchor
unanchorable                        -> anchorable
unanchored                          -> anchored
unancient                           -> ancient
unanesthetized                      -> anesthetized
unangan                             -> angan
unangelic                           -> angelic
unangelical                         -> angelical
unangered                           -> angered
unangled                            -> angled
unanglicized                        -> anglicized
unangry                             -> angry
unanguished                         -> anguished
unangular                           -> angular
unanimated                          -> animated
unanimistic                         -> animistic
unannexable                         -> annexable
unannihilable                       -> annihilable
unannihilated                       -> annihilated
unannotated                         -> annotated
