# in- candidates (857 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

incorrigible                        -> corrigible
incorrodable                        -> corrodable
incorrodible                        -> corrodible
incorrosible                        -> corrosible
incorrupt                           -> corrupt
incorruptive                        -> corruptive
increasable                         -> creasable
increate                            -> create
incredible                          -> credible
increditable                        -> creditable
incredulous                         -> credulous
increscent                          -> crescent
incriminatory                       -> criminatory
incrossbred                         -> crossbred
incrystallizable                    -> crystallizable
inculpable                          -> culpable
inculpatory                         -> culpatory
incult                              -> cult
incultivated                        -> cultivated
incumbent                           -> cumbent
incumbrous                          -> cumbrous
incunabular                         -> cunabular
incurable                           -> curable
incurious                           -> curious
incurrent                           -> current
incursive                           -> cursive
incurved                            -> curved
incurving                           -> curving
incut                               -> cut
incutting                           -> cutting
indamaged                           -> damaged
indebted                            -> debted
indecent                            -> decent
indeciduate                         -> deciduate
indeciduous                         -> deciduous
indecipherable                      -> decipherable
indecisive                          -> decisive
indeclarable                        -> declarable
indeclinable                        -> declinable
indecomponible                      -> decomponible
indecomposable                      -> decomposable
indecorous                          -> decorous
indeducible                         -> deducible
indefeasible                        -> defeasible
indefectible                        -> defectible
indefective                         -> defective
indefensible                        -> defensible
indefensive                         -> defensive
indefiable                          -> defiable
indeficient                         -> deficient
indefinable                         -> definable
indefinite                          -> definite
indefinitive                        -> definitive
indeformable                        -> deformable
indehiscent                         -> dehiscent
indelectable                        -> delectable
indelegable                         -> delegable
indeliberate                        -> deliberate
indelicate                          -> delicate
indemonstrable                      -> demonstrable
indeniable                          -> deniable
indentable                          -> dentable
indented                            -> dented
indenumerable                       -> denumerable
independent                         -> dependent
indeposable                         -> deposable
indeprehensible                     -> deprehensible
indeprivable                        -> deprivable
inderivable                         -> derivable
inderivative                        -> derivative
indescribable                       -> describable
indescriptive                       -> descriptive
indesignate                         -> designate
indesinent                          -> desinent
indestructible                      -> destructible
indestructive                       -> destructive
indetectable                        -> detectable
indetectible                        -> detectible
indeterminable                      -> determinable
indeterminant                       -> determinant
indeterminate                       -> determinate
indeterministic                     -> deterministic
indevirginate                       -> devirginate
indevote                            -> devote
indevotional                        -> devotional
indevout                            -> devout
indextrinoid                        -> dextrinoid
indifferent                         -> different
indifferentiable                    -> differentiable
indiffusible                        -> diffusible
indigestible                        -> digestible
indigestive                         -> digestive
indilatory                          -> dilatory
indiligent                          -> diligent
indiminishable                      -> diminishable
indinic                             -> dinic
indirect                            -> direct
indirected                          -> directed
indirective                         -> directive
indirigible                         -> dirigible
indiscernible                       -> discernible
indiscerpible                       -> discerpible
indisciplinable                     -> disciplinable
indiscoverable                      -> discoverable
indiscreet                          -> discreet
indiscrete                          -> discrete
indiscretional                      -> discretional
indiscriminable                     -> discriminable
indiscriminate                      -> discriminate
indiscriminating                    -> discriminating
indiscriminative                    -> discriminative
indiscriminatory                    -> discriminatory
indiscussed                         -> discussed
indispersed                         -> dispersed
indisposable                        -> disposable
indisposed                          -> disposed
indisputable                        -> disputable
indisputed                          -> disputed
indissipable                        -> dissipable
indissociable                       -> dissociable
indissoluble                        -> dissoluble
indissolvable                       -> dissolvable
indissuadable                       -> dissuadable
indistensible                       -> distensible
indistillable                       -> distillable
indistinct                          -> distinct
indistinctive                       -> distinctive
indistinguishable                   -> distinguishable
indistinguished                     -> distinguished
indistinguishing                    -> distinguishing
indistortable                       -> distortable
indistributable                     -> distributable
individable                         -> dividable
individed                           -> divided
individual                          -> dividual
indivisible                         -> divisible
indivisive                          -> divisive
indocible                           -> docible
indocile                            -> docile
indoctrinable                       -> doctrinable
indominable                         -> dominable
indomitable                         -> domitable
indrawn                             -> drawn
indriven                            -> driven
indubious                           -> dubious
inductile                           -> ductile
induplicate                         -> duplicate
induplicative                       -> duplicative
indurative                          -> durative
inebriate                           -> ebriate
inebriated                          -> ebriated
inebriating                         -> ebriating
inebrious                           -> ebrious
