# dis- candidates (771 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

disembrangle                        -> embrangle
disembroil                          -> embroil
disemburden                         -> emburden
disemploy                           -> employ
disempower                          -> empower
disempowering                       -> empowering
disemvowel                          -> emvowel
disenable                           -> enable
disenamour                          -> enamour
disenchain                          -> enchain
disenchained                        -> enchained
disenchant                          -> enchant
disenchanted                        -> enchanted
disenchanting                       -> enchanting
disencharm                          -> encharm
disenclave                          -> enclave
disenclose                          -> enclose
disencourage                        -> encourage
disencumber                         -> encumber
disendorse                          -> endorse
disendow                            -> endow
disenergize                         -> energize
disenfranchise                      -> enfranchise
disenfranchised                     -> enfranchised
disengage                           -> engage
disengaged                          -> engaged
disengaging                         -> engaging
disenhanced                         -> enhanced
disenjoy                            -> enjoy
disennoble                          -> ennoble
disenrich                           -> enrich
disenroll                           -> enroll
disenshittify                       -> enshittify
disenshroud                         -> enshroud
disenslave                          -> enslave
disentail                           -> entail
disentailed                         -> entailed
disentangle                         -> entangle
disenthrall                         -> enthrall
disenthrone                         -> enthrone
disentitle                          -> entitle
disentomb                           -> entomb
disentrail                          -> entrail
disentrain                          -> entrain
disentrance                         -> entrance
disentwine                          -> entwine
disenvelop                          -> envelop
disenvenom                          -> envenom
disenviron                          -> environ
disequalize                         -> equalize
disequalizing                       -> equalizing
disequilibrate                      -> equilibrate
disestablish                        -> establish
disesteem                           -> esteem
disexcommunicate                    -> excommunicate
disfacilitate                       -> facilitate
disfacilitatory                     -> facilitatory
disfame                             -> fame
disfancy                            -> fancy
disfashion                          -> fashion
disfavour                           -> favour
disfavourable                       -> favourable
disfavoured                         -> favoured
disfeature                          -> feature
disfellowship                       -> fellowship
disfigurative                       -> figurative
disfigure                           -> figure
disfigured                          -> figured
disflavor                           -> flavor
disflavour                          -> flavour
disflesh                            -> flesh
disforest                           -> forest
disform                             -> form
disformal                           -> formal
disfranchise                        -> franchise
disfrock                            -> frock
disfurnish                          -> furnish
disfurnished                        -> furnished
disgage                             -> gage
disgarbage                          -> garbage
disgarland                          -> garland
disgarnish                          -> garnish
disgarrison                         -> garrison
disgavel                            -> gavel
disglorify                          -> glorify
disgorge                            -> gorge
disgown                             -> gown
disgrace                            -> grace
disgraced                           -> graced
disgraceful                         -> graceful
disgraceless                        -> graceless
disgracious                         -> gracious
disgrade                            -> grade
disgraduate                         -> graduate
disgruntle                          -> gruntle
disgruntled                         -> gruntled
disguise                            -> guise
disgustable                         -> gustable
disgustful                          -> gustful
dishabilitate                       -> habilitate
dishabit                            -> habit
dishabited                          -> habited
dishabituate                        -> habituate
dishallow                           -> hallow
disharmonic                         -> harmonic
disharmonious                       -> harmonious
disharmonize                        -> harmonize
disharness                          -> harness
dishaunt                            -> haunt
dishearten                          -> hearten
disheartening                       -> heartening
disheir                             -> heir
dishelm                             -> helm
disherit                            -> herit
dishoard                            -> hoard
dishome                             -> home
dishomogeneous                      -> homogeneous
dishonest                           -> honest
dishonor                            -> honor
dishonorable                        -> honorable
dishonorary                         -> honorary
dishonour                           -> honour
dishonourable                       -> honourable
dishonoured                         -> honoured
dishorn                             -> horn
dishorse                            -> horse
dishouse                            -> house
dishumour                           -> humour
disidentificatory                   -> identificatory
disidentify                         -> identify
disideologize                       -> ideologize
disillude                           -> illude
disilluminate                       -> illuminate
disillusionary                      -> illusionary
disillusioned                       -> illusioned
disillusive                         -> illusive
disillusory                         -> illusory
disimagine                          -> imagine
disimpact                           -> impact
disimpark                           -> impark
disimpassioned                      -> impassioned
disimpeach                          -> impeach
disimpede                           -> impede
disimplicate                        -> implicate
disimprison                         -> imprison
disimpropriate                      -> impropriate
disimprove                          -> improve
disincarcerate                      -> incarcerate
disincarnate                        -> incarnate
disincentivize                      -> incentivize
disincline                          -> incline
disinclined                         -> inclined
disinclude                          -> include
disincorporate                      -> incorporate
disincrease                         -> increase
disindividualize                    -> individualize
disinfect                           -> infect
disinfectable                       -> infectable
disinfective                        -> infective
disinfest                           -> infest
disinflame                          -> inflame
